"job_title","company","location","salary","job_detail","company_size","category","company_logo_url","job_url"
"TEKNISI AC","PT Astro Technologies Indonesia","Jakarta Selatan","Rp 5.500.000 Rp 6.000.000 per month","Teknisi Listrik- Melakukan maintenance preventif rutin pada seluruh fasilitas gedung dan perangkat pendukung- Menangani troubleshooting peralatan yang menunjang proses operasional store online seperti: komputer, printer, jaringan, dan perangkat pendukung aktivitas operasional- Memastikan area store aman dan berfungsi optimal- Menjaga kebersihan area teknis (panel listrik, ruang server, IT corner)- Berkoordinasi dengan vendor bila ada pekerjaan teknis yang membutuhkan ahli eksternal- Mencatat dan melaporkan setiap pekerjaan, kerusakan, atau penggantian sparepartTeknisi AC- Melakukan maintenance preventif rutin pada seluruh fasilitas gedung dan perangkat pendukung- Menangani troubleshooting peralatan yang berhubungan dengan sistem AC- Memastikan area store aman dan berfungsi optimal- Menjaga kebersihan area teknis (AC dan perangkat lainnya yang berhubungan)- Berkoordinasi dengan vendor bila ada pekerjaan teknis yang membutuhkan ahli eksternal- Mencatat dan melaporkan setiap pekerjaan, kerusakan, atau penggantian sparepart","101-1,000 employees","Teknisi","https://bx-branding-gateway.cloud.seek.com.au/1ef7af62-d72c-421e-9668-206e68df2308.1/jdpLogo","https://id.jobstreet.com/id/job/91655218?type=standard&ref=search-standalone&origin=jobCard#sol=8c40c0506b1f3c35555fcf97c9fb6bdeb76c51c1"
"Service Technician Staff","Efrata Optima Kairosindo","Jakarta Raya","","SERVICE TECHNICIAN STAFFAnda seorang teknisi dengan kemampuan teknis yang tinggi dan berpengalaman? Suka bekerja dengan teliti, rapi, akurat, dan ingin berkembang bersama perusahaan yang mewakili brand internasional?PT Efrata Optima Kairosindo adalah perusahaan nasional yang memasarkan serta mewakili brand internasional untuk produk Powder Coating Equipment yang telah memiliki rekam jejak panjang di industri aluminum extrusion, furniture, dan home appliances.Saat ini kami sedang memperkuat tim support teknis yang dinamis dan enerjik untuk mendukung pengembangan wilayah pemasaran serta pelayanan perusahaan di Indonesia.Jika Anda mampu bekerja dalam tim dan senang memberikan pelayanan teknis yang akurat kepada customer, segera bergabung bersama kami!DESKRIPSI PEKERJAANService Technician StaffKualifikasi:Pendidikan minimal SMK/sederajatMampu mengoperasikan MS Office dan emailMemiliki kemampuan analisa yang baikMampu membaca manual instruction dalam Bahasa InggrisMampu bekerja sama dalam tim maupun secara mandiriBersedia kerja lembur pada hari libur / akhir pekanBersedia melakukan kunjungan kerja ke customer jika diperlukanMampu bekerja sesuai deadlineMampu bekerja dalam tekananPenempatan kerja di JakartaMemiliki SIM A aktifMampu mengendarai mobil manual & maticTugas dan Tanggung Jawab:Melakukan perbaikan mesin milik customerMelakukan maintenance mesin milik customerMelakukan technical visit ke customer, baik dalam maupun luar kotaMembuat laporan hasil kunjungan dan melaporkannya kepada atasanMelakukan instalasi mesin di lapanganMemberikan training penggunaan dan perawatan mesin kepada customerMelakukan demo produkBENEFITS:Tunjangan kesehatan & BPJSBonus tahunan berdasarkan kinerja perusahaan & pribadiCuti tahunan 12 hariHanya jika Anda memenuhi kriteria, ACTION sekarang juga!","11-50 employees","Teknisi","https://bx-branding-gateway.cloud.seek.com.au/bcb2aa09-6179-4229-9e60-e3c66c0df7d5.1/jdpLogo","https://id.jobstreet.com/id/job/91968018?type=standard&ref=search-standalone&origin=jobCard#sol=a8b4659c765db75719d6bceeab00163e49caa96c"
"Binatu","Laundry Air Camar","Kelapa Gading","Rp 999.333 Rp 1.000.000 per month","Dibutuhkan Pekerja lepas untuk jasa layanan binatu cuci dan setrika.Minimal usia tidak terpaku, minimal sudah berpengalaman di bidang nya. pekerja keras lebih di utamakan.","","Tekstil","","https://id.jobstreet.com/id/job/91873296?type=standard&ref=search-standalone&origin=jobCard#sol=0feacc3c953fa537fc5032cee4a42e5e58de6a70"
"Koordinator Produksi Pakaian Butik","CV. Pitaya Ageman Sembada","Kebayoran Baru","","Koordinator Lapangan Produksi bertanggung jawab untuk mendukung Kepala Produksi dalam mengawasi eksekusi teknis di lantai produksi secara real-time. Fokus utama posisi ini adalah memastikan kedisiplinan tim, kelancaran alur kerja harian, serta menjamin seluruh data progres produksi tercatat dengan akurat di sistem agar kualitas dan ketepatan waktu tetap terjaga.Tanggung Jawab Utama :Pengawasan Lapangan & KedisiplinanMonitoring Progres Produksi (Sistem & Fisik)Quality Control TeknisManajemen Operasional TimLaporan & Dokumentasi Akurat","","Tekstil","","https://id.jobstreet.com/id/job/91970298?type=standard&ref=search-standalone&origin=jobCard#sol=e00db5ef9777b74afc79f745454a819dbd06a2bb"
"QC Produksi Jahit dan Bordir","PT Astakarya Busana Prima","Jakarta Selatan","","Kualifikasi:Domisili diutamakan Jakarta.Bersedia bekerja lembur dan hari libur apabila dibutuhkanSehat fisik jasmani dan rohaniSerius dan bertanggungjawabBerpengalaman di bidangnya Rincian TugasMemeriksa Bahan Baku:Memastikan kain dan aksesori (benang bordir, kancing, dll.) sesuai standar, tidak salah, dan siap untuk proses produksi. Memeriksa Produk Jadi (Final Inspection):Mengevaluasi produk akhir untuk memastikan ukuran, warna, konstruksi, jahitan, serta detail bordir sesuai dengan pesanan dan memenuhi standar kualitas perusahaanMelakukan Dokumentasi dan Pelaporan:Mencatat semua hasil pemeriksaan, termasuk temuan kesalahan, untuk membuat laporan kualitas yang dapat digunakan sebagai bahan evaluasi dan referensi di masa depan.","","Tekstil","","https://id.jobstreet.com/id/job/91538780?type=standard&ref=search-standalone&origin=jobCard#sol=77676c50090ae3177963a15a618db077a7b93c4b"
"Production Supervisor (Cutting Garment)","Buttonscarves","Pulo Gadung","","Production Supervisor (Cutting Garment) - Placement: Pulogadung, Jakarta TimurGambaran Pekerjaan:Bertanggung jawab atas operasional di bagian cutting produksi.Memastikan efisiensi penggunaan bahan sesuai dengan marker yang telah disetujui.Mengawasi proses cutting dari awal hingga akhir.Mengontrol akurasi hasil potong agar sesuai dengan pola dan standar ukuran yang ditetapkan.Mengelola tim operator cutting dan memastikan semua bekerja sesuai prosedur keselamatan kerja (K3).Berkoordinasi dengan Tim Pattern dan Sewing untuk memastikan ketersediaan potongan kain siap jahit tepat waktu.Memelihara dan memastikan mesin potong serta peralatan pendukung dalam kondisi optimalKualifikasi :Pendidikan minimal Diploma, diutamakan dari jurusan terkait.Pengalaman minimal 3 tahun sebagai Supervisor atau Leader Cutting di industri garment.Memahami teknik pemotongan kain, karakteristik berbagai jenis bahan, dan cara baca pola.Mahir dalam perhitungan efisiensi bahan dan memahami alur kerja proses cuttingMemiliki jiwa kepemimpinan yang kuat, disiplin, dan terorganisir.Mampu mengoperasikan atau memahami cara kerja mesin potong otomatis maupun manual.","101-1,000 employees","Tekstil","https://bx-branding-gateway.cloud.seek.com.au/a8a97a99-1608-4e10-a0d0-66922d862c39.1/jdpLogo","https://id.jobstreet.com/id/job/91623505?type=standard&ref=search-standalone&origin=jobCard#sol=d1dcdc8a8e2fee701732223ee0a578c135327a4e"
"PIC CMT","COTTONINK","Kalideres","","Job Requirements: Pendidikan minimal D3/S1dari semua jurusan Memahami proses produksi garment: Cutting, Pattern Making (Pola), Sewing, hingga Finishing Memiliki kemampuan dasar dalam perbaikan ringan dan setting mesin-mesin garment Memiliki jiwa kepemimpinan dan pengalaman dalam mengelola tim 20 orang Bersedia tinggal di tempat kerja jika diperlukan Mampu melakukan administrasi dan pengolahan data hasil produksi Job Responsibilities: Bertanggung jawab atas seluruh aset yang dimiliki oleh CMT Mengatur, menjalankan, dan mengontrol seluruh operasional produksi di CMT Membuat laporan output produksi secara mingguan Mencari dan memastikan ketersediaan tenaga kerja borongan sesuai kebutuhan Memastikan target produksi tercapai sesuai timeline yang ditentukan Menjaga kualitas produk agar sesuai dengan standar yang telah ditetapkan Mengelola dan melakukan proses pembayaran upah tenaga kerja borongan setiap minggu - - Tanpa Pengalaman Bekerja- Diploma- Tidak ada batasan usia- Terima kandidat tanpa foto diri- Radius 20 km dari penempatan kerja","","Tekstil","","https://id.jobstreet.com/id/job/91645480?type=standard&ref=search-standalone&origin=jobCard#sol=de620a30dd8fcb3390c142338eac311e1c000089"
"Mekanik Mesin Jahit (Garment)","PT Santa Great Industry","Jakarta Barat","","Persyaratan :Pendidikan Minimal SMK MekanikPengalaman Min. 2 TahunDapat merawat dan memperbaiki berbagai jenis mesin jahit (Mesin Jahit Jarum 1 & 2, Obras, Lubang Kancing, dll)Nilai tambah, pengalaman dapat memperbaiki jenis mesin lainnyaJujur, tekun dan bertanggung jawabDomisili wilayah Jakarta Barat dan sekitarnya","101-1,000 employees","Tekstil","","https://id.jobstreet.com/id/job/91670278?type=standard&ref=search-standalone&origin=jobCard#sol=a5bb0a7edc99aa24deda93daa9eaeca4ad5b3ffd"
"Sales Maketing Fashion Kain","TFT Creation","Jakarta Utara","Rp 5.000.000 Rp 6.000.000 per month","LOWONGAN PEKERJAAN Sales Marketing Fashion KainNama Perusahaan: TFT Creation Lokasi Penempatan: Ruko textile mangga dua raya blok C2 No.35 Bidang Usaha: Textile / FashionDeskripsi Pekerjaan:Melakukan penjualan produk kain fashion kepada klien seperti brand fashion, konveksi, butik, dan desainer, GarmentMengidentifikasi serta mengembangkan peluang pasar baru di industri fashionMenjalin dan menjaga hubungan profesional dengan pelangganMelakukan presentasi produk, penawaran, serta negosiasi dengan klienMencapai target penjualan yang telah ditetapkan perusahaanMelakukan monitoring terhadap pesanan dan memastikan kepuasan pelangganMengikuti perkembangan tren fashion untuk mendukung strategi penjualanKualifikasi:Pendidikan minimal SMA/SMK, diutamakan D3/S1 semua jurusanMemiliki pengalaman minimal 1 2 tahun di bidang sales/marketing textile atau fashion (lebih disukai)Memahami jenis-jenis kain dan tren fashion menjadi nilai tambahMemiliki kemampuan komunikasi dan negosiasi yang baikBerorientasi pada target dan hasilMampu bekerja secara individu maupun timBersedia bekerja secara mobile/lapanganBenefit & Fasilitas:Gaji pokokKomisi penjualanBonus berdasarkan pencapaian targetTunjangan operasional (transport/makan)Kesempatan pengembangan karir","","Tekstil","","https://id.jobstreet.com/id/job/92039580?type=standard&ref=search-standalone&origin=jobCard#sol=32a35786cbb160b4f461babf2582249313a8f65d"
"Sewing","COTTONINK","Kalideres","","Kualifikasi:Berpenampilan rapi Bisa berkomunikasi dengan baikBisa bekerja secara mandiri dan juga team Pola pikir analitis, detail oriented dan mampu bekerja multi tasking","","Tekstil","","https://id.jobstreet.com/id/job/91645679?type=standard&ref=search-standalone&origin=jobCard#sol=a6620188829bb36be80e385fa70292ceeab59a48"
